Name	Month	Sources
Difficulty	January	Beard Wikpedia	
Black Smoke	January	Beard Wikpedia	
Racoon	February	Beard Wikpedia	
Bare spots on the ground	February	Beard Wikpedia	
Wind	March	Beard Wikpedia	
Little Grass	March	Beard Wikpedia	
Sore-Eye	March	Beard Wikpedia	
Ducks	April	Beard Wikpedia	
Goose-Eggs	April	Beard Wikpedia	
Green Grass	May	Beard Wikpedia	
Root-Food	May	Beard Wikpedia	
Corn-Planting	June	Beard Wikpedia	
Strawberry	June	Beard Wikpedia	
Buffalo	July	Beard Wikpedia	
Bull	July	Beard Wikpedia	
Hot Sun	July	Beard Wikpedia	
Harvest	August	Beard Wikpedia	
Cow Buffalo	August	Beard Wikpedia	
Wild Rice 	September	Beard Wikpedia	
Red Plum 	September	Beard Wikpedia	
Leaf-Falling	October	Beard Wikpedia	
Nuts	October	Beard Wikpedia	
Deer-Mating	November	Beard Wikpedia	
Fur-Pelts	November	Beard Wikpedia	
Wolves	December	Beard Wikpedia	
Big	December	Beard Wikpedia	
Wolf	January	Almanac	
Canada Goose 	January	Almanac	
Center	January	Almanac	
Cold	January	Almanac	
Freeze Up 	January	Almanac	
Frost Exploding	January	Almanac	
Great	January	Almanac	
Greetings	January	Almanac	
Hard	January	Almanac	
Severe	January	Almanac	
Spirit	January	Almanac	
Snow	February	Almanac	
Bald Eagle 	February	Almanac	
Bear	February	Almanac	
Black Bear 	February	Almanac	
Month of the Bony	February	Almanac	
Eagle	February	Almanac	
Groundhog	February	Almanac	
Hungry	February	Almanac	
Raccoon	February	Almanac	
Worm	March	Almanac	
Crow Comes Back	March	Almanac	
Eagle	March	Almanac	
Goose	March	Almanac	
Snow Crust	March	Almanac	
Sore Eye	March	Almanac	
Sugar	March	Almanac	
Wind Strong	March	Almanac	
Pink	April	Almanac	
Breaking Ice	April	Almanac	
Broken Snowshoe 	April	Almanac	
Budding of Plants and Shrubs	April	Almanac	
Frog	April	Almanac	
Moon of the Red Grass Appearing	April	Almanac	
Moon When the Ducks Come Back	April	Almanac	
Moon When the Geese Lay Eggs	April	Almanac	
Moon When the Streams are Again Navigable	April	Almanac	
Sucker	April	Almanac	
Sugar Maker	April	Almanac	
Flower	May	Almanac	
Budding	May	Almanac	
Egg Laying	May	Almanac	
Frog	May	Almanac	
Leaf Budding	May	Almanac	
Planting	May	Almanac	
of Shedding Ponies	May	Almanac	
Strawberry	June	Almanac	
Berries Ripen 	June	Almanac	
Birth	June	Almanac	
Blooming	June	Almanac	
Egg Laying	June	Almanac	
Hatching	June	Almanac	
Green Corn 	June	Almanac	
Hot	June	Almanac	
Hoer	June	Almanac	
Buck	July	Almanac	
Berry	July	Almanac	
Feather Moulting 	July	Almanac	
Halfway Summer 	July	Almanac	
Month of the Ripe Corn	July	Almanac	
When the Chokecherries are Ripe	July	Almanac	
Raspberry	July	Almanac	
Salmon	July	Almanac	
Thunder	July	Almanac	
Sturgeon	August	Almanac	
Black Cherries 	August	Almanac	
Corn	August	Almanac	
Flying Up 	August	Almanac	
Harvest	August	Almanac	
Mountain Shadows 	August	Almanac	
Ricing	August	Almanac	
Harvest	September	Almanac	
Full corn 	September	Almanac	
Autumn	September	Almanac	
Child	September	Almanac	
Falling Leaves 	September	Almanac	
Harvest	September	Almanac	
Leaves Turning	September	Almanac	
Mating	September	Almanac	
of Brown Leaves 	September	Almanac	
When the Rice is Laid Up to Dry	September	Almanac	
Rutting	September	Almanac	
Yellow Leaf	September	Almanac	
Hunter's	October	Almanac	
Drying Rice 	October	Almanac	
Falling Leaves 	October	Almanac	
Freezing	October	Almanac	
Ice	October	Almanac	
Migrating	October	Almanac	
Beaver	November	Almanac	
Deer Rutting 	November	Almanac	
Digging/Scratching	November	Almanac	
Freezing	November	Almanac	
Frost	November	Almanac	
Whitefish	November	Almanac	
Cold	December	Almanac	
Drift Clearing 	December	Almanac	
Frost Exploding Trees 	December	Almanac	
Hoar Frost	December	Almanac	
Little Spirit	December	Almanac	
Long Night	December	Almanac	
Mid-winter	December	Almanac	
Moon of the Popping Trees	December	Almanac	
Moon When the Deer Shed Their Antlers	December	Almanac	
Snow	December	Almanac	
Winter Maker 	December	Almanac	
Moon after Yule	December	UCL	
Moon after Yule	January	UCL	
Wolf	January	UCL	
Wolf	February	UCL	
Lenten	February	UCL	
Lenten	March	UCL	
Egg	March	UCL	
Egg	April	UCL	
Milk	April	UCL	
Milk	May	UCL	
Flower	May	UCL	
Flower	June	UCL	
Hay	June	UCL	
Hay	July	UCL	
Grain	July	UCL	
Grain	August	UCL	
Fruit	August	UCL	
Fruit	September	UCL	
Harvest	September	UCL	
Harvest	October	UCL	
Hunter's	October	UCL	
Hunter's	November	UCL	
Moon Before Yule	November	UCL	
Moon Before Yule	December	UCL	
